cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,omega,dipole_moment_debye,molecular_volume_A3,h_nbo_charge,o_nbo_charge,polar,sasa,3and6,4and5,logp,hbd,hba,mu,sigma,ei
77764-02-4,O=C(O)C=1C=CC=C(OCCCC)C1C(=O)O,17.0,30.0,-8.024637451245,-0.6500799888445,7.3745574624005,2.5510250292665693,5.179450985384454,214.0720000000001,0.53563,-0.66012,221.1519933333333,183.7082579571242,1,0,2.2619,2.0,3.0,8.662970420059878,1.9782422530275625,2.2036684769252922e-07
59590-46-4,O=C(O)C1=CC=2C=CC=C(N)C2C=C1C(=O)O,17.0,25.0,-7.0278844168635,-0.672121210735,6.3557632061285005,2.3321387511683302,3.763902221099799,194.88000000000005,0.53146,-0.67076,253.680165,186.8416398690403,0,2,1.8184,3.0,3.0,12.019264221987612,1.8813509812818823,0.0002153796252494667
1005516-20-0,O=C(O)C=1C=CC=C(OCCCO)C1C(=O)O,17.0,28.0,-8.0575632271555,-0.6576991766585,7.399864050496999,2.566121426319729,4.434218670746854,205.95200000000008,0.53588,-0.66015,209.62313333333336,182.25997464890685,1,0,0.8442000000000001,3.0,4.0,9.259084125263826,1.956214877284674,7.826793137343945e-07
143092-20-0,O=C(O)C1=CC=C2N=CC=NC2=C1C(=O)O,16.0,21.0,-8.722881591628001,-1.5785324467505,7.144349144877501,3.713393936877689,3.5955867421048264,173.68800000000005,0.53805,-0.65392,210.700114,181.8119956120845,1,1,1.0262,2.0,4.0,12.863805837040644,1.9906809572008446,0.0019713470702803805
108199-16-2,O=C(O)C1=C(O)C=C(C(OC)=C1C(=O)O)C,16.0,22.0,-7.963139721032,-0.7009652788880001,7.262174442144,2.584168008069665,5.240675728377019,187.98400000000004,0.53855,-0.65926,199.213488,168.34966762318348,2,1,1.10562,3.0,4.0,6.5104013688865905,2.269633869544467,4.41136354229777e-08
1807074-67-4,O=C(O)C1=CC=CC(=C1C(=O)O)CCCBr,16.0,20.0,-8.6066889774645,-0.591575510987,8.015113466477501,2.639016588890901,2.2014179725804,208.97600000000008,0.53446,-0.66097,223.493966,172.4769948789018,1,0,2.4105000000000008,2.0,2.0,10.686570375419336,1.9828174992610568,2.9752283347068487e-05
1806531-01-0,O=C(O)C1=CC=CC(C(=O)CC)=C1C(=O)O,16.0,25.0,-9.0562210584905,-0.8949824542945001,8.161238604196,3.0334381873711944,7.464943340039494,191.44000000000003,0.53527,-0.66346,202.821958,173.5682398880874,1,0,1.6757,2.0,3.0,7.729724285090384,2.1111932861830844,1.1451059452494022e-07
1803746-96-4,O=C(O)C1=CC=CC(=C1C(=O)O)CCCCl,16.0,20.0,-8.648866624292001,-0.610079252821,8.038787371471,2.666076200110411,1.719146442278842,204.39200000000005,0.53513,-0.65922,212.59103566666667,170.5112401627053,1,0,2.2544000000000004,2.0,2.0,11.09504980936967,2.00000131300609,8.065235380475856e-05
33561-98-7,O=C(O)C1=CC(OC)=C(C(OC)=C1C(=O)O)C,17.0,25.0,-8.0276307036005,-0.629671450057,7.397959253543501,2.5327552508424374,2.15621521653104,205.83200000000005,0.53574,-0.66101,214.1754696666667,176.05838724927224,1,2,1.40862,2.0,4.0,10.850372132257206,1.978790601305811,4.08129336306501e-05
858442-77-0,O=C(O)C1=CC=C(OC)C(OCC)=C1C(=O)O,17.0,28.0,-8.0657266426705,-0.4895328170494999,7.576193825621,2.415212246009597,6.325630458697378,206.22400000000005,0.53459,-0.65812,215.0541503333333,174.5572009167148,1,1,1.4903,2.0,4.0,7.215503096756436,2.0666338470551597,1.561906900813791e-08
4464-96-4,O=C(O)C1=CC=C2C(=C1C(=O)O)CCC2,15.0,18.0,-8.362058625865,-0.5532074580665001,7.8088511677985,2.544611481233646,3.6771003222648138,178.88800000000003,0.53359,-0.66325,197.31235,178.36488349001542,1,1,1.5717,2.0,2.0,9.46715373914762,1.9639844844904581,1.4512587342202637e-06
1423617-03-1,O=C(O)C=1C(Br)=CC=C(OC)C1C(=O)O,15.0,21.0,-8.019195174235001,-0.6182426683360001,7.400952505899001,2.5201260386691,4.207719144619802,183.88000000000005,0.53399,-0.64166,197.37480033333333,171.3939483983319,2,0,1.8541,2.0,3.0,7.011457608413735,2.2548623903232037,1.2221355032721528e-07
134331-63-8,O=C(O)C=1C=CC2=CC(=CN=C2C1C(=O)O)C,17.0,22.0,-8.2175661712495,-1.154851181522,7.0627149897275,3.1093640038673547,6.014991517866006,194.70400000000004,0.53651,-0.67014,239.9150473333333,180.86666832924936,1,1,1.93962,2.0,3.0,9.727402355319015,2.002883104731282,4.179037906029134e-06
2383978-89-8,O=C(O)C=1C(F)=CC=C(OC)C1C(=O)O,15.0,21.0,-8.082869815252002,-0.6914412941204999,7.391428521131502,2.6039802463067065,4.81674358981252,169.36800000000005,0.53542,-0.64808,169.80170866666666,177.50238830498478,2,0,1.2307,2.0,3.0,6.799625471560319,2.2552201683569004,7.389835408720459e-08
167490-20-2,O=C(O)C=1C=C2C(=CC1C(=O)O)CCCC2,16.0,19.0,-8.405596841945,-0.530622008475,7.87497483347,2.5351194458171453,2.9095221652360714,194.65600000000003,0.53034,-0.67309,215.6735803333333,185.56039216844192,0,2,1.9618,2.0,2.0,12.148775432972627,1.8965429609259554,0.00031088377395836796
90772-01-3,O=C(O)C1=CC=CC(C(=O)OC)=C1C(=O)O,16.0,23.0,-9.132412936630502,-0.791851304955,8.340561631675502,2.952169922309752,3.8284610498214553,183.12000000000003,0.53647,-0.65849,190.143558,173.42890470118573,1,0,0.8695999999999999,2.0,4.0,10.177318732075804,1.9371234133385933,6.060863745975561e-06
62268-13-7,O=C(O)C1=CC(Cl)=C(SC)C=C1C(=O)O,15.0,21.0,-8.117428274265501,-0.981242544903,7.136185729362501,2.900212165686723,2.3491993125318253,189.84000000000003,0.53395,-0.65663,211.4377913333333,187.52029918828725,0,2,2.4583000000000004,2.0,3.0,14.080168971368892,1.8889511715303386,0.00863562682424586
