cas,smiles,h1,h2,homo_ev,lumo_ev,gap_ev,dipole_moment_debye,3and6,4and5
1192548-76-7,O=C(O)C1=CC(Br)=CC(Cl)=C1C(=O)O,14,17,-8.75118143208,-1.007365474551,7.743815957529,2.1667953802793654,1,1
67892-43-7,O=C(O)C1=CC=CC(=C1C(=O)O)S(=O)(=O)O,16,20,,,,,1,0
597565-48-5,O=C(O)C1=CC=C(C=C1)C=2C=CC=C(C(=O)O)C2C(=O)O,30,29,-8.400154564934999,-0.7812388647855,7.618915700149499,1.7048365024247927,1,0
61837-53-4,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)N(=O)=O,18,22,-9.534325093819001,-2.135005271023,7.399319822796001,6.0247326861861685,0,2
26190-11-4,O=C(O)C1=CC=C(OC2=CC=C(C=C2)N(=O)=O)C=C1C(=O)O,22,30,-8.3672287890245,-1.7224806736649998,6.6447481153595,6.556791750543859,0,1
10595-31-0,O=C(O)C1=CC=C(C=C1C(=O)O)S(=O)(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,27,31,-9.209421156322001,-1.237573792074,7.971847364248001,8.779619449611697,0,1
22895-28-9,O=C(O)C=1C=CC=C(N=N(=O)C=2C=CC=C(C(=O)O)C2C(=O)O)C1C(=O)O,27,36,-8.414848712862,-1.69254815011,6.722300562752,4.3124409514798,1,0
945681-55-0,O=C(O)C=1C=C2C(=CC1C(=O)O)C3C=4C=CC=CC4C2C5=CC(C(=O)O)=C(C=C53)C(=O)O,32,35,-7.9432754099455005,-0.8696758661980001,7.0735995437475,4.88565374233582,0,2
92792-46-6,O=C(O)C1=CC=CC(=C1C(=O)O)N2C(=O)C=3C=CC=C(N)C3C2=O,24,28,,,,,1,0
6219-66-5,O=C(O)C1=C(O)C=C2C(=O)C=3C(O)=C(C(C(=O)C)=C(O)C3C(=O)C2=C1C(=O)O)CC,30,38,-7.744904412931,-2.3314714710840003,5.413432941846999,6.994417089364918,2,1
944-38-7,O=C(O)C1=C(C(=O)O)C(=CC=C1C)C,15,14,-8.323962686795001,-0.45878395194300003,7.865178734852001,1.6531070171044582,2,0
63035-28-9,O=C(O)C1=CC(O)=C(OC)C=C1C(=O)O,15,22,-7.875791175021501,-0.5450440425515,7.330747132470001,4.365885319153493,0,2
4445-49-2,O=C(O)C1=CC=CC(C=2C=CC=CC2)=C1C(=O)O,18,27,-8.1783817767775,-0.618786896037,7.559594880740499,2.2767742488002627,1,0
61837-54-5,O=C(O)C=1C=C(C(=O)O)C(=CC1N)C(=O)O,18,22,-7.665719282435501,-0.7175642237685,6.948155058667001,7.985781109572188,0,2
223387-87-9,O=C(O)C1=CC=C(OC(C)C)C=C1C(=O)O,16,27,-8.090489003065999,-0.52245859296,7.568030410105999,4.3475302253118375,0,1
144152-92-1,O=C(O)C1=CC=CC(C=2C=CC=CC2C)=C1C(=O)O,19,30,-8.1898105584985,-0.6326647024125001,7.5571458560860005,2.10002294749367,1,0
