cas,smiles,h1,h2
52287-38-4,O=C(O)C=1C=C2N=CC=CC2=CC1C(=O)O,16,22
855764-12-4,O=C(O)C1=CC=C2N=CC=CC2=C1C(=O)O,16,22
490-26-6,O=C(O)C1=CC=2OCOC2C=C1C(=O)O,15,20
1243400-32-9,O=C(O)C1=CC=C(OC2CC2)C=C1C(=O)O,16,25
89939-49-1,O=C(O)C1=CC(N)=C(C=C1C(=O)O)N(=O)=O,16,21
167993-09-1,O=C(O)C1=CC=2C=CNC2C=C1C(=O)O,15,21
927672-46-6,O=C(O)C=1C=CC=C(NCC2CC2)C1C(=O)O,17,29
2227312-00-5,O=C(O)C1=CC=C(F)C(=C1C(=O)O)N(=O)=O,16,19
113006-47-6,O=C(O)C1=CC=C(OC2=CC=CC(N)=C2)C=C1C(=O)O,20,30
1826827-36-4,O=C(O)C=1C=CC=C(OC2=CC=CC(C(=O)O)=C2C(=O)O)C1,30,29
198330-12-0,O=C(O)C1=CC=C(OC2=CC=CC(C(=O)O)=C2C(=O)O)C=C1,29,28
905273-60-1,O=C(O)C1=CC(F)=C(C=C1C(=O)O)C(F)(F)F,17,20
159113-89-0,O=C(O)C=1C=C2C=C3C=C(C(=O)O)C(=CC3=CC2=CC1C(=O)O)C(=O)O,26,34
72066-79-6,O=C(O)C1=CC=C(OC2=CC=C(C=C2)C(C3=CC=C(OC4=CC=CC(C(=O)O)=C4C(=O)O)C=C3)(C)C)C=C1C(=O)O,41,64
102653-80-5,O=C(O)C=1C=C(C=C(C1C(=O)O)C)C,14,17
22895-22-3,O=C(O)C1=CC=C(OCC)C=C1C(=O)O,15,24
113665-35-3,O=C(O)C1=CC(O)=C(C(=O)O)C(=C1)C(=O)O,21,19
1073323-68-8,O=C(O)C=1C(F)=CC=C(C1C(=O)O)C,14,17
1073323-66-6,O=C(O)C1=CC(F)=CC(=C1C(=O)O)C,14,17
955-04-4,O=C(O)C1=CC(O)=C(C(=O)O)C(=C1C(=O)O)C,17,21
165730-64-3,O=C(O)C=1C=C(F)C=C(F)C1C(=O)O,14,17
203194-63-2,O=C(O)C=1C=CC=C(NCC)C1C(=O)O,15,25
13133-05-6,O=C(O)C=1C=C(OC)C=C(OC)C1C(=O)O,16,25
64019-77-8,O=C(O)C=1C(OC)=CC=C(OC)C1C(=O)O,16,25
701304-33-8,O=C(O)C=1C=C2C(=CC1C(=O)O)CCC2,15,18
53659-79-3,O=C(Cl)C1=CC=C(C(=O)O)C(=C1)C(=O)O,19,17
681459-70-1,O=C(O)C1=CC(OC)=C(OC)C(=C1C(=O)O)C,17,25
144576-78-3,O=C(O)C=1C=CC(=CC1)C2=CC=C(C(=O)O)C(=C2)C(=O)O,30,28
13629-83-9,O=C(O)C=1C=CC=C(C1)C=2C=CC(C(=O)O)=C(C2)C(=O)O,30,28
1243386-96-0,O=C(O)C=1C=CC=C(OC2CC2)C1C(=O)O,16,25
24913-62-0,O=C(O)C1=CC=CC(=C1C(=O)O)C(F)(F)F,16,20
5840-66-4,O=C(O)C1=CC=C(OCC=2C=CC=CC2)C=C1C(=O)O,20,31
868943-09-3,O=C(O)C1=CC=C(C=CC=2C=CC=CC2)C=C1C(=O)O,20,31
861017-07-4,O=C(O)C=1C=CC=C(C2=CC=CC=3C=CC=CC32)C1C(=O)O,22,33
36978-40-2,O=C(O)C1=CC=C(C=C1C(=O)O)C=2C=CC=C(C(=O)O)C2C(=O)O,24,28
602-82-4,O=C(O)C1=CC=CC(C(=O)C=2C=CC=CC2)=C1C(=O)O,20,29
21021-54-5,O=C(O)C=1C(Cl)=C(C(=O)O)C(C(=O)O)=C(Cl)C1C(=O)O,21,22
1823242-79-0,O=C(O)C1=CC=C2C(=C1C(=O)O)C(N)CC2,16,19
1060796-14-6,O=C(O)C1=CC=CC(=C1C(=O)O)N2C=NN=C2,17,21
1159694-47-9,O=C(O)C1=CC=C(C=C1C(=O)O)N2C=NN=C2,17,21
88330-43-2,O=C(O)C1=CC=2C=CN(C2C=C1C(=O)O)C,16,21
346712-17-2,O=C(O)C1=CC=2N=C(SC2C=C1C(=O)O)C,16,19
405898-35-3,O=C(O)C1=CC(=CC(=C1)C(=O)O)NC(=O)C2=CC=C(C(=O)O)C(=C2)C(=O)O,37,35
313701-80-3,O=C(O)C1=CC=C(C=C1C(=O)O)N2C(=CC=C2C)C,19,23
2639423-68-8,O=C(O)C=1C=CC=C(NC(=O)OCC=2C=CC=CC2)C1C(=O)O,23,35
23646-80-2,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=CC(=C2)C(=O)C3=CC=C(C(=O)O)C(=C3)C(=O)O,34,38
7475-29-8,O=C(O)C1=CC=C2C(=O)C=3C=CC=CC3C(=O)C2=C1C(=O)O,22,29
1615657-05-0,O=C(O)C1=CC=C(OC=2C=CC(=C3C=CC=NC23)S(=O)(=O)O)C=C1C(=O)O,27,37
91715-62-7,O=C(O)C1=CC=C(C(=C1C(=O)O)C)C,14,17
99059-17-3,O=C(O)C1=CC=CC(=C1C(=O)O)CC,14,18
4821-91-4,O=C(O)C1=CC(=CC(O)=C1C(=O)O)C,14,18
22481-07-8,O=C(O)C=1C(O)=CC=C(C1C(=O)O)C,14,18
1133-27-3,O=CC1=CC=CC(C(=O)O)=C1C(=O)O,19,18
66918-88-5,O=C(O)C1=CC=C(C=C1C(=O)O)CN,14,18
34240-10-3,O=C(O)C=1C=C(C(=O)O)C(=CC1C(=O)O)C,16,20
36468-98-1,O=C(O)C1=CC=C(SC)C=C1C(=O)O,14,21
1451010-89-1,O=C(O)C1=CC=C(O)C(N)=C1C(=O)O,14,20
1098083-48-7,O=C(O)C1=CC(Br)=C(C=C1C(=O)O)C,14,17
65770-15-2,O=C(O)C1=CC=C(C(Cl)=C1C(=O)O)C,14,17
1073323-64-4,O=C(O)C1=CC(Cl)=CC(=C1C(=O)O)C,14,17
81722-05-6,O=C(O)C1=CC(=CC(OC)=C1C(=O)O)C,15,21
1391300-19-8,O=C(O)C1=CC=C(C=C1C(=O)O)CC(N)C,16,20
2167069-15-8,O=CC=1C(O)=CC=C(C(=O)O)C1C(=O)O,20,19
109803-50-1,O=C(O)C1=CC(Cl)=C(O)C=C1C(=O)O,14,18
65489-46-5,O=C(O)C=1C(O)=CC=C(OC)C1C(=O)O,15,22
39519-77-2,O=C(O)C1=CC=C(C=C1C(=O)O)N(C)C,15,19
1427081-79-5,O=C(O)C1=CC(Cl)=CC(F)=C1C(=O)O,14,17
60949-00-0,O=C(O)C1=CC=2C=CC=C(O)C2C=C1C(=O)O,17,24
77764-01-3,O=C(O)C=1C=CC=C(OCCC)C1C(=O)O,16,27
858242-89-4,O=C(O)C1=CC=C(OC)C(N)=C1C(=O)O,15,23
87255-79-6,O=C(O)C1=CC=2C=NN=CC2C=C1C(=O)O,16,21
1803862-56-7,O=C(O)C1=CC=C(C=C1C(=O)O)CC(=O)C,16,20
858242-85-0,O=C(O)C1=CC(Br)=C(OC)C=C1C(=O)O,15,21
210173-64-1,O=C(O)C1=CC=C(OC)C(F)=C1C(=O)O,15,21
2167306-51-4,O=CC=1C(O)=C(O)C=C(C(=O)O)C1C(=O)O,21,20
2251-54-9,O=C(O)C=1C(F)=CC(F)=C(F)C1C(=O)O,15,17
98588-75-1,O=C(O)C=1C(Cl)=CC=C(OC)C1C(=O)O,15,21
20736-29-2,O=C(O)C1=CC(OC)=C(O)C(OC)=C1C(=O)O,17,26
109803-51-2,O=C(O)C1=CC(Cl)=C(O)C(Cl)=C1C(=O)O,15,18
29639-49-4,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)OC,16,20
744216-81-7,O=C(O)C=1C(O)=C(C(=O)O)C(C(=O)O)=C(O)C1C(=O)O,22,23
2582759-19-9,O=C(O)C=1C=CC(=CC1C(=O)O)C=2C=CN=CC2,18,22
42200-15-7,O=C(O)C1=CC=2C=C(C(=O)O)C(=CC2C=C1C(=O)O)C(=O)O,25,29
92497-14-8,O=C(O)C=1C=CC=C(OCC=2C=CC=CC2)C1C(=O)O,20,31
937648-30-1,O=C(O)C=1C=C2C=C(F)C(F)=CC2=CC1C(=O)O,18,23
35555-66-9,O=C(O)C=1C=C(C(=O)O)C(C(=O)O)=C(C1)N(=O)=O,20,21
581794-00-5,O=C(O)C1=CC=2N=NNC2C=C1C(=O)O,15,19
1005516-33-5,O=C(O)C1=CC=CC(=C1C(=O)O)N2CCCC2,17,21
10311-26-9,O=C(O)C=1C(F)=C(C(=O)O)C(C(=O)O)=C(F)C1C(=O)O,21,22
37622-96-1,O=C(O)C=1C=C2C=CC=C(C2=CC1C(=O)O)N(=O)=O,19,25
1800035-16-8,O=C(O)C=1C(Cl)=CC=C(C1C(=O)O)N(=O)=O,16,19
39995-17-0,O=C(O)C1=CC=C(C=C1C(=O)O)C(=O)C2=CC=C(N)C=C2,21,25
1822790-02-2,O=C(O)C1=CC=C2C(=C1C(=O)O)CCC2N,16,19
